iter	Passed	Remaining
0	1	102
1	1	95
2	2	86
3	3	77
4	4	77
5	4	75
6	5	72
7	6	70
8	6	67
9	7	66
10	8	65
11	8	63
12	9	62
13	9	60
14	10	59
15	11	58
16	11	56
17	12	55
18	12	54
19	13	53
20	13	52
21	14	51
22	15	50
23	15	49
24	16	49
25	17	50
26	18	50
27	19	49
28	19	48
29	20	48
30	21	47
31	21	46
32	22	45
33	22	44
34	23	43
35	24	42
36	24	41
37	25	41
38	25	40
39	26	39
40	27	39
41	27	38
42	28	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	33
48	32	34
49	33	33
50	34	33
51	35	33
52	36	32
53	37	31
54	37	30
55	38	30
56	38	29
57	39	28
58	39	27
59	40	27
60	41	26
61	41	25
62	42	24
63	42	24
64	43	23
65	44	23
66	45	22
67	46	21
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	59	8
87	60	8
88	61	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	65	3
95	66	2
96	67	2
97	67	1
98	68	0
99	68	0
