iter	Passed	Remaining
0	138	138259
1	140	69950
2	141	46902
3	143	35655
4	145	28938
5	146	24273
6	147	20913
7	148	18470
8	150	16602
9	151	15027
10	152	13717
11	153	12616
12	153	11677
13	154	10873
14	155	10184
15	156	9604
16	156	9077
17	157	8606
18	158	8182
19	159	7794
20	159	7447
21	160	7130
22	160	6838
23	161	6572
24	162	6326
25	162	6097
26	163	5885
27	163	5691
28	164	5515
29	165	5347
30	166	5189
31	166	5039
32	167	4898
33	167	4765
34	168	4640
35	169	4534
36	170	4433
37	171	4336
38	171	4237
39	172	4146
40	173	4063
41	174	3983
42	175	3905
43	176	3833
44	177	3761
45	177	3688
46	178	3619
47	179	3554
48	179	3493
49	180	3431
50	181	3374
51	182	3319
52	183	3273
53	184	3226
54	184	3178
55	185	3132
56	186	3087
57	187	3044
58	188	3000
59	188	2957
60	189	2915
61	190	2878
62	190	2839
63	191	2801
64	192	2764
65	192	2727
66	193	2692
67	193	2657
68	194	2624
69	195	2592
70	195	2560
71	196	2530
72	196	2500
73	197	2474
74	198	2449
75	199	2430
76	200	2405
77	201	2381
78	202	2358
79	202	2333
80	203	2309
81	204	2285
82	204	2258
83	205	2236
84	205	2214
85	206	2193
86	206	2171
87	207	2150
88	208	2131
89	209	2113
90	209	2094
91	210	2075
92	210	2056
93	211	2038
94	212	2021
95	213	2011
96	214	1998
97	215	1985
98	216	1972
99	217	1956
100	218	1940
101	218	1924
102	219	1908
103	219	1893
104	220	1879
105	221	1864
106	221	1849
107	222	1835
108	222	1821
109	223	1807
110	223	1793
111	224	1780
112	225	1766
113	225	1754
114	226	1741
115	227	1733
116	228	1724
117	229	1715
118	230	1705
119	231	1694
120	231	1683
121	232	1671
122	232	1661
123	233	1650
124	234	1639
125	234	1629
126	235	1618
127	236	1608
128	236	1598
129	237	1588
130	237	1578
131	238	1568
132	239	1558
133	239	1548
134	240	1539
135	240	1530
136	241	1521
137	242	1513
138	243	1506
139	244	1499
140	244	1491
141	245	1481
142	245	1473
143	246	1465
144	247	1456
145	247	1448
146	248	1440
147	248	1432
148	249	1424
149	250	1416
150	250	1408
151	251	1401
152	251	1393
153	252	1386
154	252	1378
155	253	1372
156	254	1365
157	254	1358
158	255	1352
159	256	1346
160	257	1339
161	258	1336
162	259	1332
163	260	1327
164	261	1321
165	261	1315
166	262	1310
167	263	1303
168	263	1297
169	264	1291
170	265	1285
171	265	1280
172	266	1274
173	267	1269
174	268	1263
175	268	1258
176	269	1254
177	270	1250
178	271	1247
179	273	1244
180	274	1240
181	275	1236
182	275	1231
183	276	1226
184	277	1221
185	277	1216
186	279	1213
187	280	1211
188	281	1208
189	282	1204
190	283	1200
191	284	1196
192	285	1193
193	286	1189
194	287	1188
195	289	1187
196	290	1185
197	291	1181
198	292	1176
199	293	1173
200	294	1169
201	294	1165
202	295	1160
203	296	1156
204	297	1151
205	297	1148
206	298	1144
207	299	1141
208	300	1137
209	301	1133
210	302	1130
211	303	1127
212	304	1125
213	305	1121
214	306	1117
215	306	1113
216	307	1110
217	308	1107
218	309	1104
219	310	1100
220	311	1097
221	312	1094
222	313	1091
223	314	1090
224	315	1086
225	316	1083
226	318	1082
227	319	1080
228	320	1078
229	321	1075
230	322	1072
231	323	1069
232	323	1066
233	324	1063
234	325	1060
235	327	1058
236	327	1055
237	328	1052
238	329	1048
239	330	1045
240	330	1042
241	331	1039
242	332	1037
243	333	1034
244	334	1031
245	335	1027
246	336	1025
247	337	1022
248	338	1020
249	339	1018
250	340	1016
251	341	1013
252	342	1010
253	343	1008
254	344	1005
